Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 84.44%, Time: 24.42s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 82.84%, Time: 19.91s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.95%, Time: 19.81s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.55%, Time: 22.88s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.88s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.02%, Time: 19.60s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 19.59s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.03%, Time: 22.16s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 23.77s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.88%, Time: 19.26s
Experiment: Filters1=20, Filters2=20, Dropout=0.5, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 19.66s
Experiment: Filters1=20, Filters2=20, Dropout=0.75, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 83.83%, Time: 22.51s
